hour;h_load_kw
4470;73.2291666666667
4471;73.2291666666667
4472;73.2291666666667
4473;73.2291666666667
4474;73.2291666666667
4475;73.2291666666667
4476;73.2291666666667
4477;73.2291666666667
4478;73.2831666666667
4479;75.3081666666667
4480;76.9875666666667
4481;78.6615666666667
4482;80.1465666666667
4483;81.5343666666667
4484;82.6575666666667
4485;83.4999666666667
4486;84.0183666666667
4487;84.3045666666667
4488;84.4665666666667
4489;79.7199666666667
4490;73.2291666666667
4491;73.2291666666667
4492;73.2291666666667
4493;73.2291666666667
4494;73.2291666666667
4495;73.2291666666667
4496;73.2291666666667
4497;73.2291666666667
4498;73.2291666666667
4499;73.2291666666667
4500;73.2291666666667
4501;73.2291666666667
4502;73.2291666666667
4503;74.2497666666667
4504;76.2747666666667
4505;78.0675666666667
4506;79.3203666666667
4507;80.3949666666667
4508;81.2967666666667
4509;82.3821666666667
4510;83.4351666666667
4511;84.5205666666667
4512;85.2603666666667
4513;80.8377666666667
4514;74.4549666666667
4515;73.2291666666667
4516;73.2291666666667
4517;73.2291666666667
4518;73.2291666666667
4519;73.2291666666667
4520;73.2291666666667
4521;73.2291666666667
4522;73.2291666666667
4523;73.2291666666667
4524;73.2291666666667
4525;73.2291666666667
4526;73.6773666666667
4527;75.1731666666667
4528;76.8795666666667
4529;78.5805666666667
4530;80.2653666666667
4531;82.0365666666667
4532;83.5971666666667
4533;84.9957666666667
4534;86.0757666666667
4535;86.2701666666667
4536;86.0703666666667
4537;82.5927666666667
4538;78.3483666666667
4539;73.5477666666667
4540;73.2291666666667
4541;73.2291666666667
4542;73.2291666666667
4543;73.2291666666667
4544;73.2291666666667
4545;73.2291666666667
4546;73.2291666666667
4547;73.2291666666667
4548;73.2291666666667
4549;73.2291666666667
4550;77.3547666666667
4551;79.4499666666667
4552;81.0969666666667
4553;82.3065666666667
4554;83.1489666666667
4555;83.9103666666667
4556;84.6555666666667
4557;85.2009666666667
4558;85.7193666666667
4559;86.0217666666667
4560;86.0433666666667
4561;82.1229666666667
4562;76.5987666666667
4563;73.2291666666667
4564;73.2291666666667
4565;73.2291666666667
4566;73.2291666666667
4567;73.2291666666667
4568;73.2291666666667
4569;73.2291666666667
4570;73.2291666666667
4571;73.2291666666667
4572;73.2291666666667
4573;73.2291666666667
4574;75.5403666666667
4575;76.9983666666667
4576;78.1215666666667
4577;79.6173666666667
4578;80.9457666666667
4579;81.9285666666667
4580;82.7925666666667
4581;83.6781666666667
4582;84.5691666666667
4583;85.4007666666667
4584;85.6977666666667
4585;82.5981666666667
4586;78.8559666666667
4587;74.3307666666667
4588;73.2291666666667
4589;73.2291666666667
4590;73.2291666666667
4591;73.2291666666667
4592;73.2291666666667
4593;73.2291666666667
4594;73.2291666666667
4595;73.2291666666667
4596;73.2291666666667
4597;73.8447666666667
4598;77.5167666666667
4599;78.7479666666667
4600;79.6713666666667
4601;80.6325666666667
4602;81.6477666666667
4603;82.8519666666667
4604;84.0129666666667
4605;85.2009666666667
4606;86.1999666666667
4607;87.0909666666667
4608;87.8307666666667
4609;85.3629666666667
4610;81.6369666666667
4611;78.2457666666667
4612;74.0823666666667
4613;73.2291666666667
4614;73.2291666666667
4615;73.2291666666667
4616;73.2291666666667
4617;73.2291666666667
4618;73.2291666666667
4619;73.2291666666667
4620;73.2291666666667
4621;74.1957666666667
4622;77.4573666666667
4623;78.8451666666667
4624;80.2491666666667
4625;81.3399666666667
4626;82.4631666666667
4627;83.5431666666667
4628;84.7257666666667
4629;85.9893666666667
4630;87.4095666666667
4631;88.7649666666667
4632;89.7099666666667
4633;86.0541666666667
4634;80.8377666666667
4635;74.8113666666667
4636;73.2291666666667
4637;73.2291666666667
4638;73.2291666666667
4639;73.2291666666667
4640;73.2291666666667
4641;73.2291666666667
4642;73.2291666666667
4643;73.2291666666667
4644;73.2291666666667
4645;73.2291666666667
4646;74.3847666666667
4647;75.5511666666667
4648;76.9335666666667
4649;78.5535666666667
4650;80.0439666666667
4651;81.5829666666667
4652;82.9977666666667
4653;84.4719666666667
4654;85.8651666666667
4655;87.2799666666667
4656;88.1115666666667
4657;84.1641666666667
4658;79.2879666666667
4659;73.2291666666667
4660;73.2291666666667
4661;73.2291666666667
4662;73.2291666666667
4663;73.2291666666667
4664;73.2291666666667
4665;73.2291666666667
4666;73.2291666666667
4667;73.2291666666667
4668;73.2291666666667
4669;73.2291666666667
4670;76.0263666666667
4671;78.1755666666667
4672;80.1249666666667
4673;81.8367666666667
4674;83.4135666666667
4675;84.8661666666667
4676;86.3835666666667
4677;87.8955666666667
4678;89.3103666666667
4679;90.4821666666667
4680;91.0059666666667
4681;86.3025666666667
4682;79.5471666666667
4683;73.2291666666667
4684;73.2291666666667
4685;73.2291666666667
4686;73.2291666666667
4687;73.2291666666667
4688;73.2291666666667
4689;73.2291666666667
4690;73.2291666666667
4691;73.2291666666667
4692;73.2291666666667
4693;73.2291666666667
4694;79.3419666666667
4695;80.8863666666667
4696;82.1823666666667
4697;83.9589666666667
4698;85.8435666666667
4699;87.3609666666667
4700;89.0241666666667
4701;90.4227666666667
4702;91.6917666666667
4703;93.1713666666667
4704;94.0461666666667
4705;89.8287666666667
4706;82.8627666666667
4707;75.6159666666667
4708;73.2291666666667
4709;73.2291666666667
4710;73.2291666666667
4711;73.2291666666667
4712;73.2291666666667
4713;73.2291666666667
4714;73.2291666666667
4715;73.2291666666667
4716;73.2291666666667
4717;76.1505666666667
4718;81.6369666666667
4719;83.3433666666667
4720;84.6285666666667
4721;85.8489666666667
4722;87.1503666666667
4723;88.3599666666667
4724;89.5155666666667
4725;90.4713666666667
4726;91.0437666666667
4727;91.6647666666667
4728;92.0589666666667
4729;86.7453666666667
4730;77.1981666666667
4731;73.2291666666667
4732;73.2291666666667
4733;73.2291666666667
4734;73.2291666666667
4735;73.2291666666667
4736;73.2291666666667
4737;73.2291666666667
4738;73.2291666666667
4739;73.2291666666667
4740;73.2291666666667
4741;73.2291666666667
4742;76.1721666666667
4743;78.1431666666667
4744;79.8171666666667
4745;81.5181666666667
4746;82.9491666666667
4747;84.2127666666667
4748;85.2063666666667
4749;86.4267666666667
4750;87.3123666666667
4751;88.2519666666667
4752;89.2995666666667
4753;83.9157666666667
4754;74.0337666666667
4755;73.2291666666667
4756;73.2291666666667
4757;73.2291666666667
4758;73.2291666666667
4759;73.2291666666667
4760;73.2291666666667
4761;73.2291666666667
4762;73.2291666666667
4763;73.2291666666667
4764;73.2291666666667
4765;73.2291666666667
4766;74.1093666666667
4767;76.3611666666667
4768;77.7165666666667
4769;79.0557666666667
4770;80.4381666666667
4771;81.8421666666667
4772;83.1489666666667
4773;84.2559666666667
4774;85.5033666666667
4775;86.8317666666667
4776;87.8901666666667
4777;83.4351666666667
4778;75.2325666666667
4779;73.2291666666667
4780;73.2291666666667
4781;73.2291666666667
4782;73.2291666666667
4783;73.2291666666667
4784;73.2291666666667
4785;73.2291666666667
4786;73.2291666666667
4787;73.2291666666667
4788;73.2291666666667
4789;73.2291666666667
4790;73.9149666666667
4791;76.2045666666667
4792;78.0459666666667
4793;79.7091666666667
4794;81.5775666666667
4795;83.0409666666667
4796;84.5205666666667
4797;86.0703666666667
4798;87.6579666666667
4799;88.9215666666667
4800;89.8773666666667
4801;84.8283666666667
4802;74.8437666666667
4803;73.2291666666667
4804;73.2291666666667
4805;73.2291666666667
4806;73.2291666666667
4807;73.2291666666667
4808;73.2291666666667
4809;73.2291666666667
4810;73.2291666666667
4811;73.2291666666667
4812;73.2291666666667
4813;73.2291666666667
4814;74.0175666666667
4815;75.9345666666667
4816;77.2845666666667
4817;78.7695666666667
4818;80.5947666666667
4819;82.2147666666667
4820;83.7429666666667
4821;85.2711666666667
4822;86.5995666666667
4823;87.7119666666667
4824;88.1817666666667
4825;83.5161666666667
4826;75.6375666666667
4827;73.2291666666667
4828;73.2291666666667
4829;73.2291666666667
4830;73.2291666666667
4831;73.2291666666667
4832;73.2291666666667
4833;73.2291666666667
4834;73.2291666666667
4835;73.2291666666667
4836;73.2291666666667
4837;73.2291666666667
4838;73.2291666666667
4839;73.4073666666667
4840;74.4441666666667
4841;75.7833666666667
4842;77.1765666666667
4843;78.6885666666667
4844;80.1789666666667
4845;81.6045666666667
4846;83.0193666666667
4847;84.3477666666667
4848;85.2387666666667
4849;81.1077666666667
4850;74.5089666666667
4851;73.2291666666667
4852;73.2291666666667
4853;73.2291666666667
4854;73.2291666666667
4855;73.2291666666667
4856;73.2291666666667
4857;73.2291666666667
4858;73.2291666666667
4859;73.2291666666667
4860;73.2291666666667
4861;73.2291666666667
4862;73.2291666666667
4863;75.0813666666667
4864;76.6257666666667
4865;78.0405666666667
4866;79.1745666666667
4867;80.1303666666667
4868;80.8917666666667
4869;81.8637666666667
4870;82.7493666666667
4871;83.4999666666667
4872;84.5691666666667
4873;81.2859666666667
4874;75.8481666666667
4875;73.2291666666667
4876;73.2291666666667
4877;73.2291666666667
4878;73.2291666666667
4879;73.2291666666667
4880;73.2291666666667
4881;73.2291666666667
4882;73.2291666666667
4883;73.2291666666667
4884;73.2291666666667
4885;73.2291666666667
4886;73.2291666666667
4887;74.0121666666667
4888;75.6213666666667
4889;77.2197666666667
4890;78.8991666666667
4891;80.7999666666667
4892;82.1499666666667
4893;83.4081666666667
4894;84.1101666666667
4895;85.2441666666667
4896;86.2431666666667
4897;84.0561666666667
4898;79.4337666666667
4899;74.9787666666667
4900;73.2291666666667
4901;73.2291666666667
4902;73.2291666666667
4903;73.2291666666667
4904;73.2291666666667
4905;73.2291666666667
4906;73.2291666666667
4907;73.2291666666667
4908;73.2291666666667
4909;73.2291666666667
4910;76.3017666666667
4911;77.9487666666667
4912;79.1205666666667
4913;80.2707666666667
4914;81.2265666666667
4915;82.2849666666667
4916;83.4459666666667
4917;84.6825666666667
4918;85.8165666666667
4919;87.0261666666667
4920;87.7713666666667
4921;85.2225666666667
4922;80.3085666666667
4923;75.8697666666667
4924;73.2291666666667
4925;73.2291666666667
4926;73.2291666666667
4927;73.2291666666667
4928;73.2291666666667
4929;73.2291666666667
4930;73.2291666666667
4931;73.2291666666667
4932;73.2291666666667
4933;75.5457666666667
4934;80.5893666666667
4935;82.6143666666667
4936;83.9751666666667
4937;85.1415666666667
4938;86.0595666666667
4939;86.8101666666667
4940;87.5283666666667
4941;88.4247666666667
4942;89.2185666666667
4943;89.9205666666667
4944;90.3903666666667
4945;86.1513666666667
4946;78.9801666666667
4947;73.2291666666667
4948;73.2291666666667
4949;73.2291666666667
4950;73.2291666666667
4951;73.2291666666667
4952;73.2291666666667
4953;73.2291666666667
4954;73.2291666666667
4955;73.2291666666667
4956;73.2291666666667
4957;74.8707666666667
4958;77.9865666666667
4959;79.3473666666667
4960;80.7459666666667
4961;82.2363666666667
4962;83.7267666666667
