hour;wind_capacity_factor
828;0.115
829;0.029
830;0.003
831;0
832;0
833;0
834;0
835;0
836;0
837;0
838;0
839;0
840;0
841;0
842;0
843;0
844;0
845;0.001
846;0.014
847;0.05
848;0.044
849;0.103
850;0.167
851;0.799
852;0.058
853;0
854;0
855;0
856;0.001
857;0.006
858;0.012
859;0.019
860;0.019
861;0.011
862;0.005
863;0.002
864;0.001
865;0.001
866;0.001
867;0
868;0.001
869;0
870;0.034
871;0.337
872;0.664
873;1.567
874;3.303
875;2.653
876;0.317
877;0.026
878;0.001
879;0
880;0.001
881;0.003
882;0.008
883;0.013
884;0.021
885;0.022
886;0.035
887;0.021
888;0.001
889;0
890;0.002
891;0.01
892;0.02
893;0.09
894;0.164
895;0.484
896;0.619
897;0.842
898;1.127
899;0.006
900;0.056
901;0.238
902;0.292
903;0.29
904;0.063
905;0.157
906;0.862
907;0.727
908;0.07
909;0.232
910;1.014
911;0.915
912;0.229
913;0.143
914;0.125
915;0.145
916;0.061
917;0.032
918;0.026
919;0.009
920;0.006
921;0.465
922;4.728
923;0.982
924;0.002
925;0.003
926;0.003
927;0
928;0
929;0
930;0
931;0.001
932;0.001
933;0
934;0
935;0.001
936;0.002
937;0.008
938;0.036
939;0.209
940;0.893
941;5.141
942;9.131
943;8.475
944;6.027
945;3.441
946;1.771
947;0.676
948;0.053
949;0.03
950;0.02
951;0.033
952;0.026
953;0.023
954;0.025
955;0.03
956;0.051
957;0.117
958;0.27
959;0.467
960;0.622
961;0.854
962;1.192
963;0.991
964;0.001
965;0.273
966;0.465
967;0.056
968;0.058
969;0.133
970;0.31
971;0.444
972;0.012
973;0.002
974;0.002
975;0.002
976;0.001
977;0.002
978;0
979;0
980;0
981;0
982;0
983;0
984;0
985;0
986;0
987;0
988;0.054
989;0.055
990;0.007
991;0
992;0.003
993;0.048
994;0.108
995;0.284
996;0.021
997;0.001
998;0.001
999;0.001
1000;0.002
1001;0.003
1002;0.007
1003;0.008
1004;0.014
1005;0.025
1006;0.018
1007;0.016
1008;0.022
1009;0.021
1010;0.041
1011;0.014
1012;0
1013;0.006
1014;0.062
1015;0.109
1016;0.378
1017;0.618
1018;0.958
1019;1.03
1020;0.072
1021;0.008
1022;0.004
1023;0.002
1024;0.001
1025;0.002
1026;0.003
1027;0.011
1028;0.026
1029;0.033
1030;0.032
1031;0.033
1032;0.036
1033;0.03
1034;0.013
1035;0.006
1036;0.034
1037;0.018
1038;0.001
1039;0.098
1040;0.226
1041;0.36
1042;0.932
1043;1.239
1044;0.025
1045;0
1046;0
1047;0
1048;0
1049;0.001
1050;0.002
1051;0.002
1052;0.003
1053;0.005
1054;0.005
1055;0.002
1056;0.001
1057;0
1058;0
1059;0
1060;0.005
1061;0.004
1062;0.038
1063;0.153
1064;0.268
1065;0.432
1066;0.81
1067;0.29
1068;0.002
1069;0.002
1070;0.004
1071;0.004
1072;0.006
1073;0.005
1074;0.006
1075;0.011
1076;0.026
1077;0.014
1078;0.007
1079;0.014
1080;0.022
1081;0.001
1082;0.032
1083;0.045
1084;0.021
1085;0.002
1086;0
1087;0
1088;0.002
1089;0.141
1090;5.093
1091;1.471
1092;0.001
1093;0
1094;0.991
1095;0.767
1096;0.055
1097;0.008
1098;0.051
1099;0.047
1100;0.017
1101;0.001
1102;0
1103;0.002
1104;0.003
1105;0.002
1106;0
1107;0
1108;0.006
1109;0.001
1110;0.002
1111;0.004
1112;0.002
1113;0
1114;0.001
1115;0.123
1116;0.032
1117;0.006
1118;0.001
1119;0
1120;0
1121;0.001
1122;0.001
1123;0.002
1124;0.002
1125;0.004
1126;0.011
1127;0.024
1128;0.053
1129;0.079
1130;0.106
1131;0.385
1132;1.718
1133;3.178
1134;5.363
1135;7.679
1136;9.165
1137;9.81
1138;10.044
1139;7.424
1140;1.99
1141;0.289
1142;0.12
1143;0.07
1144;0.058
1145;0.053
1146;0.04
1147;0.017
1148;0.006
1149;0.007
1150;0.006
1151;0.004
1152;0.002
1153;0.004
1154;0.001
1155;0.01
1156;0.528
1157;0.826
1158;1.751
1159;1.802
1160;2.021
1161;2.363
1162;3.19
1163;3.378
1164;0.271
1165;0.016
1166;0.001
1167;0
1168;0
1169;0
1170;0
1171;0
1172;0
1173;0
1174;0
1175;0.001
1176;0.008
1177;0.021
1178;0.006
1179;0
1180;0.004
1181;0.484
1182;1.926
1183;3.6
1184;5.108
1185;6.669
1186;6.337
1187;3.918
1188;0.38
1189;0.024
1190;0.002
1191;0
1192;0.001
1193;0.002
1194;0.013
1195;0.028
1196;0.029
1197;0.02
1198;0.012
1199;0.006
1200;0.002
1201;0.001
1202;0
1203;0.007
1204;0.382
1205;1.901
1206;3.946
1207;7.066
1208;9.153
1209;9.59
1210;6.603
1211;2.433
1212;0.163
1213;0.015
1214;0.001
1215;0
1216;0
1217;0.001
1218;0.002
1219;0.003
1220;0.005
1221;0.009
1222;0.009
1223;0.006
1224;0.007
1225;0.007
1226;0.004
1227;0.001
1228;0.007
1229;0.784
1230;3.076
1231;4.311
1232;4.004
1233;4.609
1234;5.061
1235;3.763
1236;0.427
1237;0.068
1238;0.008
1239;0.007
1240;0.012
1241;0.02
1242;0.019
1243;0.019
1244;0.019
1245;0.022
1246;0.021
1247;0.013
1248;0.006
1249;0.003
1250;0.004
1251;0.009
1252;0.982
1253;4.649
1254;7.701
1255;9.853
1256;11.297
1257;11.814
1258;11.586
1259;8.711
1260;1.759
1261;0.583
1262;0.165
1263;0.018
1264;0.004
1265;0.004
1266;0.005
1267;0.005
1268;0.009
1269;0.016
1270;0.021
1271;0.015
1272;0.012
1273;0.014
1274;0.005
1275;0.001
1276;0.11
1277;1.107
1278;3.934
1279;3.425
1280;3.108
1281;4.582
1282;6.234
1283;5.618
1284;1.609
1285;0.282
1286;0.041
1287;0.01
1288;0.004
1289;0.011
1290;0.021
1291;0.02
1292;0.014
1293;0.009
1294;0.005
1295;0.003
1296;0.001
1297;0
1298;0
1299;0
1300;0.085
